"","X","Filename","LI","session","LI.mean","LI.se","LI.N","A_param1","A_param2","A_param3","A_param4","A_LI.est","A_LIest.se","A_p.interact","A_R2","A_AIC","A_BIC","B_param1","B_param2","B_param3","B_LI.est","B_LIest.se","B_p.interact","B_R2","B_AIC","B_BIC","C_param1","C_param2","C_param3","C_LI.est","C_LIest.se","C_p.interact","C_R2","C_AIC","C_BIC"
"86",86,"A2_022_D2",2.307186435,2,2.31403407082029,0.346175483089226,15,-105.746733774229,-6.44606521463226,-2.02705543304137,0.189530709676793,2.15262718492556,0.628905845670788,0,0.223861081627945,7038.3,7083.8,102.570160028459,0.182034046152961,0.43360458617922,-1.92770737050423,0.585281919833591,0,0.306479615250069,6912.1,7019.5,101.806670001076,0.658123346972231,0.433604586210259,-1.92770737054529,0.410507416248896,0,0.658829847842037,6175.2,6770.4
"87",87,"A2_023_D2",1.819191176,2,1.83160706757772,0.616622512440822,15,-103.026765364904,-5.95636514956384,-1.70361035015777,0.076555926905242,1.62376558838204,0.582000435428957,0.01,0.229015407930392,7552.4,7598.7,101.565612256184,1.33680535401836,0.334579531984005,-1.2526142717209,0.528588386845107,0.02,0.333640405290466,7374.1,7489.8,102.631752076302,1.82873761882929,0.334579532080543,1.25261427177529,0.319299232347154,0,0.756852857846437,6202,6891.3
"88",88,"A2_024_D2",-3.390232046,2,-3.39065598497332,0.42785581254791,15,-103.109631055286,-1.10326415861905,-0.838939009246087,0.210967199360446,-3.17050677778108,0.60918744546005,0,0.0760190123733722,8105.2,8151.9,103.073423361424,-2.2040212216179,-1.3924286445247,3.55110219515421,0.554869106204394,0,0.196319374842272,7925.5,8039.6,103.923323171491,-0.693193512416802,-1.39242864456945,3.55110219518123,0.287995147021477,0,0.783492598459716,6293.5,7032.3
"89",89,"A2_025_D2",6.652441909,2,6.67195880728683,0.944783556921569,15,-97.8632179696638,-0.906578619150666,-1.26181885355139,0.18269280376767,5.77235336738543,0.929340364685776,0,0.074685503549808,8366.4,8412.3,101.885151909242,0.211734066322079,1.52360322364614,-5.21015431816169,0.856905695208422,0,0.17841358902746,8227.3,8339,103.071243370798,1.55802525692974,1.52360322363858,5.21015431815804,0.424422754986944,0,0.798449207988817,6616.7,7280.7
"90",90,"A2_026_D2",2.305585647,2,2.25435316618353,0.617140176879979,15,-105.33908222587,-4.38613414771502,-0.207518444341404,0.133345577545329,2.0174799433631,0.569157916580296,0,0.170226352464288,6144.7,6189.4,102.658044685079,-0.308872342448516,0.58698948642279,-2.20240131265103,0.508181449306241,0,0.304139582859785,5961.1,6063.5,102.434918220595,0.10592379099056,0.58698948639041,-2.20240131264158,0.339933285094365,0,0.688633488685195,5202.6,5845.1
"91",91,"A2_027_D2",3.015151343,2,3.00646274488974,1.2310666196456,15,-97.3136638003325,-0.224363615534639,-3.09069495643035,-0.199671267874761,2.35097023346076,1.14517084807104,0.04,0.0583131428930671,6886.8,6930.8,102.172299420898,-2.49690341116429,0.559161769504444,-1.08120493538488,1.00359000896864,0.28,0.243364325227432,6678.1,6780.6,101.363942685823,-1.3540174851558,0.559161769562446,1.08120493542674,0.505054341298153,0.03,0.808375792012215,5444,6116.5
"92",92,"A2_028_D2",5.358891292,2,5.16140199293671,0.874832665815404,15,-106.527119918676,-4.39199037531884,-3.21567479230848,0.458092016590922,4.35599972015705,0.994375689488208,0,0.107746082416159,6577.2,6621.1,102.142874985909,-0.177772236567879,0.97001641102655,-4.33330776647867,0.88687815746201,0,0.259755703543122,6401,6504.5,101.345082711445,0.809261809093156,0.970016410980342,-4.33330776539629,0.613772607262463,0,0.645462518145977,5776.2,6351.3
"93",93,"A2_029_D2",2.540795591,2,2.13148922630286,0.451329540685134,15,-102.742488253383,-5.10072403989426,0.248594152488908,0.335141216018864,1.93912786658019,0.650679975587009,0,0.210994525341588,7599.9,7646,101.889192158475,1.7080123968088,0.242739124222973,-1.7639266707661,0.590956807276442,0,0.323419532786481,7415.8,7526.8,101.694591521609,1.87272741414636,0.242739124196752,1.76392667074392,0.330898763395347,0,0.78787186948092,6086.6,6757.1
"94",94,"A2_030_D2",-0.375691682,2,-0.360511003115416,0.82945917452536,15,-102.512060412146,-0.994153972858661,-1.97539441737206,-0.166136200991849,0.0439948341017459,0.63945605308969,0.95,0.0610795640514793,7649.4,7695.6,102.322129529067,-1.06608668898016,0.0638607878235281,0.331138619806514,0.546638642084036,0.54,0.292807586255296,7302.1,7417.9,101.698044653919,0.645025200746088,0.0638607878497797,0.331138619818489,0.280787461469824,0.24,0.81340828494683,5743.1,6429.8
"95",95,"A2_032_D2",5.590803131,2,5.6169072443994,0.697589137805064,15,-108.655565614228,-5.88958154332518,0.317121379185468,0.0534255727192969,4.98963859420399,0.842873407672817,0,0.153214259277625,8432.4,8478.6,101.689388738806,1.92020280037359,1.41404943466689,-4.52931063650719,0.809739621810119,0,0.189127387492892,8380.2,8474.9,101.368440648404,1.8299670773845,1.41404943464804,4.52931063650612,0.36130430620864,0,0.838561123428773,6465.9,7201.4
